"ID_PEDIDO";"DATA";"VALOR.VENDA"
13709445;"01/11/23";509,63
13710468;"03/11/23";837,22
13710471;"01/11/23";250
13710481;"01/11/23";332,99
13710485;"01/11/23";328,99
13710580;"01/11/23";837,22
13711705;"01/11/23";558,02
13712567;"01/11/23";130
13712596;"01/11/23";1019,26
13713328;"01/11/23";250
13715217;"01/11/23";282,6
13715511;"03/11/23";485,1
13715524;"03/11/23";130
13715826;"01/11/23";226,81
13717110;"03/11/23";428,4
13717121;"03/11/23";85
13717214;"03/11/23";79
13717250;"06/11/23";570,72
13717268;"03/11/23";198,98
13717285;"03/11/23";216
13717311;"06/11/23";240,03
13717955;"01/11/23";198,98
13718036;"04/11/23";1156
13718052;"04/11/23";250
13718410;"03/11/23";674,11
13718539;"01/11/23";198,98
13721033;"07/11/23";1100,44
13721105;"08/11/23";1019,26
13721116;"07/11/23";250
13721740;"08/11/23";1100,44
13721749;"07/11/23";250
13722433;"08/11/23";1115,2
13722473;"07/11/23";820
13722514;"09/11/23";570,72
13722563;"08/11/23";467
13722573;"08/11/23";1115,2
13723174;"08/11/23";467
13723263;"06/11/23";59
13724545;"09/11/23";1080,76
13724575;"08/11/23";1281,66
13724590;"08/11/23";250
13724623;"08/11/23";1019,26
13724641;"09/11/23";250
13724663;"09/11/23";467
13725206;"06/11/23";61
13725673;"09/11/23";332,99
13726808;"07/11/23";118,98
13727116;"08/11/23";147,61
13727126;"07/11/23";242,1
13727147;"09/11/23";1019,26
13727934;"10/11/23";366,3
13727942;"07/11/23";85
13728611;"09/11/23";999
13728635;"09/11/23";250
13728662;"09/11/23";1290,1
13728707;"13/11/23";250
13728822;"10/11/23";820
13728846;"10/11/23";820
13729665;"09/11/23";1102
13729668;"08/11/23";306
13729991;"08/11/23";198,98
13730805;"10/11/23";298,98
13730826;"09/11/23";257,41
13731211;"08/11/23";499,38
13731644;"08/11/23";198,98
13733742;"10/11/23";383,41
13733750;"09/11/23";59
13733764;"10/11/23";289,98
13733783;"14/11/23";312,38
13733800;"13/11/23";332,99
13733849;"14/11/23";590,4
13734126;"09/11/23";12,9
13734550;"13/11/23";509,63
13734637;"09/11/23";495,9
13734658;"13/11/23";130
13735716;"13/11/23";509,63
13736857;"13/11/23";421,89
13736887;"14/11/23";108
13736973;"10/11/23";9,9
13736994;"10/11/23";59
13737254;"10/11/23";198,98
13738323;"13/11/23";59
13738340;"13/11/23";21
13738527;"13/11/23";119,02
13739205;"13/11/23";23,95
13739257;"16/11/23";663,3
13739264;"16/11/23";130
13739295;"14/11/23";592,74
13739695;"13/11/23";145,8
13739741;"14/11/23";126,63
13739922;"14/11/23";499,38
13739978;"13/11/23";459,01
13740007;"13/11/23";198,98
13740025;"13/11/23";198,98
13740037;"13/11/23";118,98
13740055;"13/11/23";59
13740087;"13/11/23";89
13741977;"14/11/23";843,78
13742188;"14/11/23";147,61
13744300;"17/11/23";332,99
13744330;"17/11/23";250
13744372;"20/11/23";837,22
13744387;"17/11/23";250
13744631;"20/11/23";715,5
13744684;"14/11/23";282,6
13744768;"17/11/23";1156
13745285;"14/11/23";198,98
13745308;"17/11/23";130
13746342;"16/11/23";428,4
13746385;"20/11/23";444,01
13747131;"21/11/23";1217,7
13747148;"20/11/23";250
13747164;"20/11/23";243,4
13747192;"17/11/23";683,06
13748656;"20/11/23";332,99
13750667;"21/11/23";1462,88
13750689;"21/11/23";250
13750711;"21/11/23";950,38
13750728;"17/11/23";118,98
13751177;"17/11/23";198,98
13752553;"20/11/23";59
13752572;"22/11/23";1181,62
13752576;"22/11/23";250
13752637;"20/11/23";118,98
13753524;"22/11/23";426,6
13754096;"22/11/23";527,4
13754645;"20/11/23";198,98
13754671;"22/11/23";130
13754896;"21/11/23";130
13754918;"20/11/23";59
13754939;"20/11/23";242,1
13755152;"23/11/23";59
13755296;"22/11/23";1092
13755309;"22/11/23";250
13755383;"22/11/23";391
13756047;"21/11/23";12,9
13756601;"24/11/23";1002,04
13756700;"22/11/23";1100,44
13756850;"21/11/23";118,98
13757479;"21/11/23";23,95
13758070;"22/11/23";282,6
13758347;"23/11/23";619,28
13758356;"23/11/23";250
13758395;"23/11/23";880,68
13760017;"22/11/23";242,1
13760029;"23/11/23";130
13760451;"24/11/23";1104,54
13760765;"22/11/23";12,5
13760975;"23/11/23";147,61
13761203;"22/11/23";12,9
13763411;"24/11/23";743,75
13763469;"27/11/23";426,6
13763481;"24/11/23";147,61
13763735;"24/11/23";172,6
13764226;"23/11/23";198,98
13765429;"24/11/23";39
13765665;"27/11/23";776,42
13766166;"27/11/23";499,38
13766281;"28/11/23";775,08
13766328;"28/11/23";250
13766534;"24/11/23";12,5
13766642;"24/11/23";198,98
13766693;"27/11/23";371,88
13766702;"27/11/23";99,5
13767716;"29/11/23";497,92
13767725;"30/11/23";250
13767888;"30/11/23";680,78
13767926;"30/11/23";250
13767938;"29/11/23";880,68
13768637;"28/11/23";294,31
13769292;"27/11/23";12,9
13769343;"27/11/23";21
13769467;"30/11/23";440,76
13769493;"28/11/23";257,41
13770418;"27/11/23";12,5
13771794;"30/11/23";370,47
13772095;"27/11/23";4,95
13773273;"28/11/23";21
13773440;"28/11/23";12,9
13773685;"28/11/23";12,5
13773731;"28/11/23";12,9
13774319;"28/11/23";12,5
13774847;"29/11/23";1194
13775099;"29/11/23";147,61
13775157;"30/11/23";497,92
13776004;"29/11/23";495,9
13776007;"29/11/23";85
13776200;"30/11/23";147,61
13777401;"29/11/23";204
13778137;"29/11/23";119,02
13780753;"30/11/23";198,98
13781125;"30/11/23";12,9
13781267;"30/11/23";12,5
